Albacete;Alicante;Almería;Álava;Asturias;Ávila;Badajoz;Baleares;Barcelona;Vizcaya;Burgos;Cáceres;Cádiz;Cantabria;Castellón;Ciudad Real;Córdoba;Coruña;Cuenca;Guipúzcoa;Gerona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lérida;Lugo;Madrid;Málaga;Murcia;Navarra;Orense;Palencia;Las Palmas;Pontevedra;La Rioja;Salamanca;S.C.Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Zamora;Zaragoza;Ceuta;Melilla
Albacete;0;680;84;18;30;9;32;229;258;33;14;15;37;17;87;191;47;36;284;16;43;71;42;66;13;59;19;36;4;725;79;719;23;9;6;51;23;25;12;49;9;75;2;34;16;133;722;15;4;57;1;13
Alicante;465;0;382;119;225;50;106;762;1467;229;106;85;194;128;221;178;135;168;95;152;204;367;101;70;65;163;104;102;29;3276;480;2672;175;47;37;271;89;92;63;245;41;275;22;182;45;237;2769;143;27;216;30;61
Almería;69;402;0;39;63;12;36;237;750;65;30;16;171;37;46;55;100;37;18;55;116;1293;31;116;46;184;20;120;14;969;628;932;65;19;6;108;30;27;17;102;21;224;8;100;13;73;308;20;5;80;17;122
Álava;16;86;32;0;39;7;11;61;248;750;229;21;24;79;16;12;20;52;5;357;12;21;5;8;16;11;39;31;12;406;71;44;161;20;26;40;34;239;17;19;8;44;0;13;4;43;75;63;17;56;0;5
Asturias;16;249;60;60;0;28;26;297;556;188;96;52;96;342;52;31;26;331;21;84;59;59;44;30;20;29;552;26;332;1925;176;101;120;67;47;245;183;52;95;205;30;99;14;76;16;104;202;149;59;111;14;13
Ávila;12;73;18;13;39;0;9;32;69;29;29;60;19;30;12;18;12;19;14;24;10;21;23;12;6;9;36;12;12;1938;47;24;16;3;22;19;12;11;146;29;69;14;16;10;8;158;55;137;16;19;3;1
Badajoz;25;167;51;23;25;15;0;331;487;91;28;640;168;32;41;86;186;31;22;71;73;73;51;170;17;36;31;38;13;1597;235;81;52;9;7;139;43;33;70;113;18;628;9;58;4;184;127;52;12;97;20;12
Baleares;116;637;196;31;260;16;169;0;2592;149;56;88;354;92;161;111;223;224;38;109;268;578;53;83;69;191;101;109;36;2164;505;341;110;50;20;414;210;41;75;341;25;492;15;205;30;89;1066;89;36;173;22;50
Barcelona;154;1149;850;221;333;55;406;2568;0;540;152;212;638;241;687;219;455;461;146;404;5704;784;122;232;472;313;290;2016;296;4368;1200;812;441;253;71;647;318;191;153;640;43;809;81;5646;240;219;1554;171;99;849;95;156
Vizcaya;15;195;71;823;151;18;52;190;562;0;435;72;89;1148;52;29;24;156;3;904;35;40;14;20;30;24;113;29;78;1244;157;91;277;70;100;142;75;290;65;108;18;73;13;55;7;38;185;82;65;114;6;6
Burgos;6;149;37;497;76;21;33;77;223;523;0;21;29;221;23;30;30;37;12;90;14;21;27;22;13;8;104;32;13;980;73;68;90;28;118;58;46;175;56;41;62;38;100;31;2;29;86;242;21;102;5;5
Cáceres;28;103;44;36;56;45;634;148;266;88;32;0;79;32;37;60;24;34;4;86;30;65;57;70;14;24;21;18;13;1753;87;90;71;17;12;53;32;34;290;68;17;124;9;45;6;285;106;48;19;49;6;1
Cádiz;27;205;195;55;88;17;162;777;745;119;51;48;0;61;71;40;255;279;21;89;111;371;60;289;34;149;39;31;20;2080;1672;322;90;13;15;573;88;32;22;266;14;1960;6;91;14;97;248;49;16;139;286;51
Cantabria;14;139;41;87;364;10;22;132;331;1296;159;25;63;0;39;27;26;110;11;115;40;26;30;15;14;14;77;16;25;1117;120;64;95;23;120;133;52;82;38;118;11;78;5;52;6;42;128;127;16;69;9;3
Castellón;92;374;120;47;48;6;35;247;865;64;14;27;63;32;0;33;39;32;43;59;108;55;21;35;65;31;26;174;16;558;110;179;67;14;11;63;37;44;18;48;2;83;14;428;147;50;1992;29;12;217;17;5
Ciudad Real;206;472;119;28;59;23;81;163;304;50;25;44;84;18;63;0;162;42;119;32;46;126;99;53;16;119;25;31;9;2338;217;234;34;6;7;72;17;31;15;49;29;130;8;65;7;523;334;48;12;63;10;7
Córdoba;31;166;200;21;25;9;175;356;491;31;29;49;293;29;63;129;0;29;33;35;62;434;27;165;27;311;15;49;8;1140;1476;143;47;15;3;202;20;41;12;83;20;831;11;82;5;84;175;35;5;116;46;41
Coruña;20;200;57;48;273;13;39;258;606;126;32;24;253;96;48;23;19;0;8;86;56;54;53;33;5;11;180;32;864;1632;136;234;57;378;19;465;1638;39;45;235;10;97;13;52;10;56;184;67;31;101;16;14
Cuenca;372;172;38;5;15;6;21;75;192;23;15;17;26;15;51;140;24;21;0;24;19;26;87;29;7;14;14;29;5;1321;48;149;17;8;6;21;7;12;10;17;17;29;3;32;17;182;730;19;5;54;2;1
Guipúzcoa;17;144;35;423;58;9;56;91;397;910;78;51;65;84;38;18;28;82;8;0;51;42;14;30;35;32;26;25;18;666;107;46;624;44;30;93;57;129;75;58;16;54;15;43;6;27;128;45;26;108;10;9
Gerona;22;173;146;11;77;13;61;254;6034;54;17;29;104;36;99;15;45;59;13;57;0;135;33;38;60;82;34;304;15;418;229;134;75;28;4;137;44;23;22;129;9;97;9;345;25;47;181;17;19;117;14;76
Granada;47;362;1562;30;63;8;58;752;858;65;26;33;315;33;39;92;267;54;22;72;138;0;40;132;31;563;33;59;15;1433;1806;579;57;11;5;203;40;39;19;140;10;430;8;109;6;80;225;23;5;102;74;134
Guadalajara;21;146;39;24;44;23;34;46;166;34;20;45;37;35;33;58;21;33;63;26;23;25;0;26;17;26;21;17;4;4055;68;73;29;15;12;61;21;14;25;28;13;36;29;22;22;161;118;23;13;107;3;3
Huelva;52;90;116;25;33;3;181;155;314;33;15;50;293;24;36;45;140;22;8;35;57;151;13;0;28;50;13;97;9;598;319;101;30;14;4;120;30;22;19;71;28;1724;5;66;3;48;93;37;5;66;13;12
Huesca;5;81;51;20;40;11;12;55;544;28;26;6;27;25;65;8;12;5;15;38;63;26;11;27;0;12;16;430;5;265;24;50;107;8;4;26;16;35;5;29;6;22;5;129;34;26;111;8;5;939;1;1
Jaén;85;298;488;27;31;11;48;397;485;56;24;31;217;20;56;162;420;32;23;40;128;982;27;138;25;0;11;122;8;1155;1006;317;104;12;8;108;21;31;17;60;10;379;17;123;17;83;255;32;4;85;42;38
León;27;165;25;47;729;34;35;143;319;115;104;21;33;138;59;8;19;213;14;49;42;52;32;16;21;10;0;15;122;1344;99;69;60;163;117;105;159;51;120;113;39;91;11;44;9;75;155;307;142;138;5;9
Lérida;11;120;101;48;42;6;17;157;2559;44;32;9;35;10;118;9;19;24;18;50;301;59;17;83;338;43;28;0;17;272;88;131;89;10;2;42;45;23;13;33;7;40;7;713;30;21;228;20;6;242;12;35
Lugo;4;54;13;16;244;6;15;43;236;51;14;6;32;34;15;1;10;1098;5;25;16;13;15;7;5;6;91;7;0;392;27;27;17;252;11;61;426;20;1;25;6;25;2;42;2;12;39;31;6;26;1;1
Madrid;347;2979;787;327;1233;1202;875;2203;4198;806;495;1073;1296;737;435;1137;503;1075;648;597;345;856;3658;386;215;460;675;242;310;0;2428;1496;583;311;176;1430;773;367;653;1076;861;1388;185;375;79;8023;2436;744;337;963;156;138
Málaga;34;431;655;55;126;22;139;581;1128;162;50;45;1408;60;52;98;706;81;25;115;189;1134;83;175;27;336;64;68;30;2912;0;336;154;25;15;424;79;52;60;278;23;1032;15;106;17;129;348;77;9;155;277;229
Murcia;447;2876;859;126;101;24;50;452;949;167;67;61;319;55;136;110;88;148;110;153;168;496;60;82;31;120;82;119;23;2204;301;0;254;17;12;226;83;65;28;124;29;206;19;174;20;125;736;55;11;168;30;70
Navarra;19;145;56;149;102;3;38;79;427;253;69;32;78;75;24;26;24;57;8;591;45;57;19;24;47;67;52;48;24;848;149;98;0;21;17;109;52;512;42;59;9;62;35;56;10;28;165;36;12;411;8;15
Orense;8;60;12;26;84;6;6;85;249;81;18;6;21;25;24;5;10;520;4;39;24;14;12;23;5;9;131;15;260;483;52;32;27;0;12;90;952;21;13;58;7;28;1;25;4;29;59;29;27;35;0;5
Palencia;1;48;17;37;64;9;11;34;78;96;164;4;5;160;11;9;2;24;7;33;9;6;16;0;11;0;117;9;10;356;22;21;25;11;0;21;25;26;27;26;25;18;14;11;3;17;40;350;31;30;0;9
Las Palmas;55;324;143;67;214;16;104;423;775;162;40;50;414;96;57;46;109;399;25;111;112;208;45;87;30;91;103;54;67;1767;460;186;90;57;22;0;359;41;70;1638;22;417;10;64;15;119;334;83;19;174;22;145
Pontevedra;17;118;49;27;148;3;11;266;466;104;35;27;105;81;23;23;28;1758;13;57;42;56;38;16;22;17;120;32;387;1327;102;100;58;724;17;500;0;33;27;239;24;58;7;63;6;38;165;73;46;78;9;11
La Rioja;11;119;38;362;41;14;20;41;269;231;122;16;41;106;26;11;11;25;11;142;17;19;16;14;21;16;55;33;17;432;42;74;706;21;4;42;26;0;23;30;8;37;56;36;2;57;105;20;7;260;5;1
Salamanca;5;139;28;32;99;131;65;111;256;106;85;209;54;56;21;15;18;55;4;81;36;27;18;28;12;7;117;17;8;1500;93;33;60;21;50;76;50;36;0;87;43;67;14;27;0;62;122;237;165;52;4;4
S.C.Tenerife;31;267;94;34;187;27;86;380;736;96;19;30;271;91;65;51;85;224;21;89;91;145;36;68;24;33;74;46;29;1493;420;142;73;51;25;1751;225;27;39;0;16;285;7;93;17;67;289;63;19;121;16;73
Segovia;6;60;29;13;23;80;20;35;52;19;78;7;18;25;10;11;8;13;3;19;13;4;14;24;11;12;34;22;5;1525;41;41;13;11;18;36;20;10;25;25;0;19;33;19;5;36;47;252;18;45;15;6
Sevilla;65;307;261;37;109;18;507;1012;1186;120;44;104;1813;84;75;76;666;100;30;121;137;390;50;1327;23;185;63;52;29;2301;1411;242;137;49;15;574;73;49;45;322;28;0;12;113;18;98;318;96;20;153;103;67
Soria;11;34;22;20;17;4;9;15;86;18;73;12;12;17;10;1;4;14;6;27;17;14;20;5;6;3;21;8;6;336;20;18;81;4;15;5;6;73;12;9;28;16;0;12;12;10;32;55;2;223;1;1
Tarragona;29;268;165;38;78;17;69;281;6408;115;43;40;101;53;442;42;77;65;24;87;340;127;26;49;94;106;35;690;47;536;175;230;95;32;9;115;38;32;30;110;12;134;10;0;83;44;372;36;9;303;18;69
Teruel;13;50;22;7;23;0;7;30;279;20;13;4;14;10;147;6;5;9;10;13;16;13;27;5;58;5;6;36;12;149;14;40;26;7;10;18;12;29;0;18;1;20;12;83;0;9;330;3;0;748;0;3
Toledo;119;398;110;57;128;152;176;206;341;86;51;253;107;77;66;413;79;54;143;86;73;93;172;52;32;64;45;63;21;9627;199;228;128;26;19;168;53;32;68;94;66;113;23;57;24;0;259;65;29;72;21;28
Valencia;504;2440;345;108;171;38;115;1339;2224;237;71;65;181;139;1524;192;127;161;470;213;216;217;92;118;124;173;92;307;46;2991;410;732;193;46;28;320;139;103;52;237;36;282;21;361;296;184;0;111;29;458;31;37
Valladolid;13;185;41;49;127;83;70;130;249;102;210;50;46;138;33;15;58;69;5;55;25;21;26;30;20;5;235;22;25;1325;118;71;50;33;307;80;73;34;165;102;214;51;35;27;6;43;169;0;238;117;5;12
Zamora;7;58;11;20;101;34;21;49;107;61;44;12;11;52;17;4;12;42;6;38;18;14;14;10;2;0;188;8;10;659;25;33;27;46;46;22;49;23;223;31;27;34;5;22;2;41;52;273;0;44;4;5
Zaragoza;41;278;179;60;99;17;59;201;1078;147;74;39;106;87;187;42;80;79;25;97;137;102;75;80;767;39;89;251;19;1502;213;196;581;26;13;117;55;197;33;99;35;170;141;333;506;64;523;79;24;0;19;33
Ceuta;4;51;70;2;14;2;26;42;68;17;4;8;519;3;13;7;39;16;4;25;15;134;2;23;0;40;18;12;3;249;411;32;14;2;0;30;13;11;8;22;6;162;1;14;0;19;42;8;2;44;0;29
Melilla;6;75;245;7;16;10;17;92;247;13;6;9;86;13;23;7;47;14;8;16;96;177;3;10;4;19;1;37;5;237;419;100;12;1;3;126;14;16;10;59;13;78;1;74;3;21;62;12;1;61;38;0
