;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Ávila;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cáceres;Cádiz;Cantabria;Castellón/Castelló;Ciudad Real;Córdoba;Coruña, A;Cuenca;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ceuta;Melilla;
        Jaén;85.284297;298.341824;488.316574;26.795677;31.151263;10.570057;47.577388;397.142907;485.302374;56.08663;24.304578;30.884941;216.848463;20.398511;55.515762;162.075471;419.975874;31.79223;23.278933;40.294253;127.656665;981.585516;27.268523;137.507139;24.958154;0.0;10.71298;122.344872;7.766413;1155.221813;1006.376265;317.188859;103.811619;11.700637;7.762365;108.478003;21.369689;31.158139;17.370508;60.16617;9.765012;379.148366;17.370367;122.804426;16.646769;83.380086;255.139008;31.819906;3.917885;84.787505;41.769883;37.852284;
        León;27.169646;165.190996;25.122409;46.721154;728.671067;34.09615;34.936129;143.177395;318.979975;114.976019;104.066086;21.251687;32.908613;138.325906;59.042737;7.723052;18.539787;213.216209;14.282004;49.437728;41.608884;51.607144;31.994079;16.465409;21.376417;9.742118;0.0;14.580064;121.599712;1343.782244;99.09929;69.291041;60.250908;163.268237;117.434552;105.26538;158.935934;51.466253;119.656225;112.829881;38.809118;91.370538;10.655792;43.817353;8.666274;74.583621;154.51866;307.130224;142.131696;138.048035;4.876469;8.77591;
        Lleida;10.60289;119.698732;101.463218;47.961164;41.587645;5.804859;16.523529;157.031912;2558.69429;44.222424;31.887586;8.714742;34.907453;9.679425;117.851099;8.740585;19.445427;24.267019;18.094684;49.677497;300.656291;58.905298;17.43825;82.803509;338.456144;43.420084;28.132853;0.0;17.349441;272.385132;87.779119;130.875468;89.063947;9.674153;1.910803;41.535463;44.563714;22.904409;12.675615;32.763192;6.732303;39.904123;6.653434;713.494475;29.805888;21.247437;228.262821;20.141857;5.858946;242.175736;11.542531;34.618313;
        Lugo;3.870427;54.174006;12.576531;15.528151;244.42402;5.889474;14.515484;42.713091;236.467924;51.452695;13.564696;5.869234;32.1418;34.013803;14.614517;0.974045;9.812048;1098.107707;4.780873;25.092054;16.460238;12.593927;14.563979;6.82896;4.874617;5.80726;91.287944;6.723594;0.0;392.000565;27.114361;26.912408;16.50423;252.285191;10.626813;61.290334;425.8295;20.427497;0.984703;25.250499;5.847611;25.357752;1.918892;41.673785;1.967063;11.714652;38.734377;31.134488;5.876082;26.082721;0.953015;0.971567;
        Madrid;346.92695;2979.397983;787.413474;327.151573;1232.829691;1201.911825;874.763553;2202.844307;4198.200871;805.855166;495.462765;1072.851455;1295.500323;737.341938;435.413752;1137.111422;502.511292;1075.279423;648.156146;597.131332;344.859048;856.033532;3657.642657;385.643491;214.759001;460.214742;674.961834;241.572275;310.387131;0.0;2428.415802;1495.673799;582.825459;310.816339;175.721779;1429.526123;772.693947;367.17579;653.381652;1076.358496;861.270283;1387.648158;184.915881;375.244224;79.412287;8022.966796;2435.623279;743.866027;336.979833;962.993191;155.887698;137.866738;
        Málaga;33.883394;431.145569;654.875486;55.030807;125.757217;22.160324;138.580017;581.129764;1127.885512;162.48852;50.388159;44.655204;1408.458547;60.187844;52.098041;98.351917;706.022212;80.537511;25.031713;115.374282;188.992078;1134.264779;83.371571;174.81275;27.033324;336.477687;64.324103;68.230472;30.068544;2911.502499;0.0;336.239093;153.698888;25.208787;14.55501;424.286159;78.558109;52.311478;59.872803;277.769045;23.201685;1031.760254;15.424271;105.679032;16.572958;128.890874;348.213093;76.726933;8.773001;154.967297;277.173139;228.794154;
        Murcia;446.530153;2875.752019;859.447201;125.518607;100.795049;24.224058;49.629982;452.100802;948.67399;166.73357;66.522377;61.038057;318.651747;55.153303;135.752378;109.556736;87.978577;147.73234;110.051093;152.79416;168.261514;495.521908;59.549541;82.345948;30.526759;120.427839;81.54113;118.610908;23.333023;2203.770663;300.778358;0.0;253.722115;17.452357;12.482364;226.444719;83.085387;65.186109;27.955447;124.294134;28.916877;206.432405;19.161841;173.689103;20.215831;125.359753;735.586026;55.038896;10.590637;168.186009;30.109083;70.173437;
        Navarra;19.218212;144.955149;55.769914;149.491458;102.164531;2.859485;37.873171;79.45553;426.727602;252.72122;69.052517;32.182777;77.821046;74.668688;24.277015;26.219655;24.298593;57.364321;7.731938;591.267578;45.226726;57.384003;19.333419;23.945061;46.588158;67.131946;51.603703;48.012904;24.287779;848.24467;149.132054;98.241358;0.0;21.377434;16.524838;109.132432;51.678772;511.564596;41.78126;59.075494;8.659638;62.018763;34.986573;56.003473;9.73813;27.988485;165.287241;35.982509;11.551533;411.097498;7.773958;14.500356;
        Ourense;7.769043;60.321936;11.548342;26.279287;84.466623;5.765215;5.836957;84.625259;249.000925;80.86918;17.51509;5.867831;21.3646;25.369385;24.405069;4.76968;9.697243;520.250393;3.879899;38.881727;24.159933;13.520745;11.662189;23.257097;4.863562;8.698581;130.913713;14.500359;260.044527;482.720788;52.281887;32.057479;27.075533;0.0;11.699209;90.415048;951.903329;21.268573;12.731608;58.185004;6.7606;28.080691;0.98236;25.114222;3.877463;29.32945;59.033002;29.210958;27.25141;34.912319;0.0;4.882278;
        Palencia;0.985163;47.526066;17.39704;36.924475;64.277064;8.731854;10.713046;34.149853;77.728184;96.311667;164.458086;3.846893;4.79694;159.86987;10.76135;8.805935;1.972769;24.387608;6.656763;33.035459;8.719977;5.792706;15.601029;0.0;10.680776;0.0;117.455818;8.772583;9.769786;355.54722;22.250928;21.316107;25.319854;10.627021;0.0;21.483423;25.133428;25.945524;27.261314;26.320797;25.153375;17.565509;13.641764;10.612783;2.839002;17.400809;39.873068;350.440626;30.924323;30.114252;0.0;8.763456;
        Palmas, Las;54.556665;324.486615;143.381271;67.485738;213.500386;15.524365;104.343082;423.296659;775.201208;162.402595;39.955193;49.71183;414.498688;96.365952;57.28421;45.664301;109.254009;398.825756;25.048597;110.970707;112.392816;207.539783;44.909264;86.597257;30.08625;91.02151;103.32401;53.931362;67.263494;1766.588324;460.493945;186.241367;90.242562;56.543727;22.392122;0.0;359.398872;40.906232;69.788112;1637.520114;22.306454;417.4801;9.698893;64.139848;14.578235;119.37937;334.455023;82.761053;19.425837;174.489749;21.521189;145.287766;
        Pontevedra;17.379643;117.712329;49.025821;27.215701;147.937516;2.949627;10.607615;265.794948;465.799895;104.191457;35.098798;27.426339;104.909146;80.893708;23.308877;23.279431;28.101656;1758.174595;12.584052;57.205133;41.813363;56.438303;38.052435;16.425657;22.366285;17.46466;120.322158;31.926401;386.526148;1326.776315;101.864478;99.733348;58.206305;724.376982;17.47645;500.196571;0.0;32.914946;27.246655;239.287767;24.35054;58.111964;6.782982;63.321919;5.881158;37.803661;164.871466;73.08734;45.634364;77.799217;8.75987;10.697879;
        Rioja, La;10.601863;118.870406;38.32467;362.173958;40.701881;13.647903;20.368823;40.739465;268.981937;231.114111;121.628723;16.306462;40.813623;106.061868;26.252382;10.646421;10.689643;25.296805;10.653737;142.003215;17.358453;18.501111;16.328759;14.461973;21.320819;16.409342;55.222401;33.436318;17.353214;431.773502;41.731296;73.768218;705.706839;21.310409;3.90738;41.713932;26.146561;0.0;23.253169;30.0502;7.72326;36.651782;56.288192;35.891598;1.943078;56.815777;104.896601;20.352097;6.77156;259.708538;4.820506;0.95897;
        Salamanca;4.840884;139.001079;28.051361;32.003698;99.101505;131.368065;65.242478;111.124259;255.968348;105.739289;84.628281;209.394818;53.643804;56.466917;21.421915;14.516072;18.470391;55.33712;3.892721;80.781327;35.98012;27.140055;18.384616;27.936918;11.680242;6.820733;117.242573;17.286236;7.70758;1500.167387;93.193529;32.877457;60.306254;21.343339;50.400732;75.847721;49.534444;35.743057;0.0;87.422586;42.92484;67.19416;14.440035;27.209926;0.0;62.29895;121.824523;236.672871;164.639921;51.636764;3.897575;3.843923;
        Santa Cruz de Tenerife;31.17437;266.855656;94.077964;33.776123;186.830732;27.243287;85.615562;379.730896;736.318939;96.175473;19.376999;30.255532;270.677095;90.681551;64.941183;50.582535;84.561018;224.010426;21.447127;88.784694;90.963726;144.882588;35.893201;68.167492;24.44437;33.17125;73.948738;45.728513;29.159012;1492.502854;419.507484;141.660714;72.742926;50.529116;25.331565;1750.715876;225.048308;27.193675;38.822539;0.0;15.565144;285.185922;6.827728;93.034302;17.3755;67.016819;289.217576;63.390866;18.505847;121.459918;16.434951;72.727156;
        Segovia;5.850373;60.196445;28.807611;12.639514;23.22693;80.38257;19.526017;34.741423;52.180111;19.468455;77.96867;6.813525;18.412283;25.351446;9.722014;10.747459;7.740751;12.664013;2.877944;19.11401;13.413796;3.853455;13.524568;24.048287;10.620385;11.573519;34.014901;21.826807;4.784476;1525.432586;40.577197;41.423886;12.566988;10.592191;17.508576;36.048601;20.362639;9.641792;25.154954;25.072295;0.0;19.390755;33.367417;19.099487;4.788561;36.110355;47.166797;251.863407;18.288784;45.004316;15.37523;5.888513;
        Sevilla;64.739359;306.595256;260.890844;36.611954;108.544748;17.548579;506.687956;1011.540269;1185.886172;120.180101;43.872388;104.236353;1812.582842;83.603485;74.53117;75.552308;666.001871;99.834531;29.867675;121.208766;137.146277;389.732146;50.497082;1327.073571;23.17902;184.923515;63.236966;51.923819;29.129623;2301.315833;1410.959061;242.200943;137.292125;49.312948;15.46478;573.692748;72.70726;49.400385;44.68069;322.372982;28.172313;0.0;11.638245;112.530676;17.558772;97.986648;318.452941;96.083791;20.180109;153.299986;103.323058;67.252302;
        Soria;10.620039;33.858721;22.070201;19.51183;17.404534;3.866404;8.778657;14.639092;86.409474;17.563284;72.572292;11.6299;11.708983;17.460533;9.640885;0.985163;3.924124;13.616122;5.81373;26.970449;17.366914;13.619353;20.294975;4.758752;5.666824;2.91524;21.303261;7.703893;5.81971;335.609415;20.368789;18.34775;80.549242;3.86429;14.584303;4.840297;5.897733;72.769903;11.729039;8.655;27.77967;15.616545;0.0;11.662065;11.625057;9.736928;31.899944;55.46568;1.970326;222.959424;0.966999;0.969033;
        Tarragona;28.935766;268.465423;164.988381;38.377472;78.439882;17.344638;68.970495;280.861518;6408.233789;114.624368;43.442247;39.964665;100.556115;53.279374;441.687579;41.602828;76.812698;65.161508;24.116625;86.556186;339.865213;126.664603;26.04159;49.202128;93.811137;105.771312;34.935441;689.514813;47.247714;536.443656;175.3706;230.367492;95.08664;32.089743;8.656454;115.026167;37.714081;31.699982;30.144186;110.403751;12.488686;134.017312;9.548136;0.0;83.267849;44.402632;372.328485;36.435122;8.749245;302.781547;18.146298;68.716047;
        Teruel;13.442501;50.130646;22.224846;6.748058;23.100414;0.0;6.857795;30.168048;279.146955;20.252158;12.606654;3.882017;13.686497;9.736971;146.637748;5.843373;4.879248;8.70019;9.713941;13.273055;16.475588;12.512476;27.034683;4.746795;58.092469;4.848111;5.818564;35.605433;11.579715;149.446593;13.51232;40.140881;26.026148;6.70824;9.611522;18.399377;11.581951;29.079338;0.0;18.35274;0.955044;20.250817;11.586622;83.427216;0.0;8.744325;329.87944;2.911603;0.0;747.545228;0.0;2.865416;
        Toledo;119.483184;398.368047;109.889105;57.294274;128.255079;151.680479;176.059414;205.980895;340.911091;85.95116;51.015382;252.711787;106.922424;76.513189;65.706051;412.875637;78.944698;54.169381;143.060973;86.440474;73.337903;92.762135;172.142125;51.806827;31.927855;64.024687;45.461094;63.203281;21.149529;9626.929017;199.401116;228.117057;127.659014;26.156311;18.596497;168.154793;53.446313;31.990998;68.073983;94.306746;65.671443;112.630947;23.217124;56.864108;24.135217;0.0;259.346699;65.280446;29.101928;71.541759;21.27005;27.95266;
        Valencia/València;504.168448;2439.808653;345.075855;107.848236;171.252706;37.991338;115.38759;1338.849742;2224.405755;237.375892;70.903111;65.212398;180.566603;139.477332;1523.969598;192.191145;127.209234;161.427366;469.918696;212.574687;215.76119;217.380106;91.756074;117.971559;123.855958;173.173924;92.132136;307.481734;45.627519;2990.914283;409.890972;731.788924;193.437651;45.68276;27.94924;320.417492;138.948282;102.57155;51.525651;236.818724;35.727801;281.961886;21.12308;361.429503;296.397293;183.776631;0.0;111.011177;29.12898;458.39179;31.040499;36.718947;
        Valladolid;12.614981;184.845305;41.408486;48.611692;127.158129;82.802954;69.899148;130.322313;248.740253;102.055071;209.903068;49.627828;45.594715;138.233048;33.017435;15.44564;58.31719;69.194899;4.797084;54.73281;25.148818;21.40641;26.229705;30.026546;20.202205;4.827541;235.380799;22.034591;25.075518;1325.224261;118.145429;71.483914;50.375006;33.008465;307.444347;79.79221;73.084677;33.867195;165.262003;102.28973;213.539827;51.342357;34.869023;27.316866;5.837435;42.787299;169.318794;0.0;237.933483;117.406429;4.874926;11.718815;
        Zamora;6.722093;58.439709;10.693268;20.422848;101.19458;33.794096;21.32625;48.632968;106.988124;61.215633;43.753415;11.724598;10.675712;52.406456;17.424778;3.930104;12.358266;41.845119;5.869187;37.9155;17.505043;14.407586;14.481174;9.75572;1.922877;0.0;188.470607;7.8732;9.66527;658.837628;25.176744;32.712988;27.049568;45.671591;45.84541;22.322677;48.621645;23.222114;222.866565;31.201551;27.078243;33.740234;4.894462;22.35478;1.956559;40.565296;52.30063;273.138973;0.0;43.583662;3.837757;4.852283;
        Zaragoza;41.085649;277.865012;178.832256;59.662607;98.757692;17.498341;59.219758;200.941201;1077.795824;146.889635;73.51682;38.880783;106.111204;86.543806;186.581546;41.667383;79.59912;78.511441;25.192051;96.619065;136.9416;102.1637;74.735581;80.16306;767.450251;38.524534;89.25721;251.235624;19.275795;1501.876141;212.85179;196.322612;581.463629;26.31326;12.592338;116.517178;55.176918;197.494056;33.113444;98.926697;34.867023;170.053726;140.690418;333.15484;505.933774;63.917377;523.051464;78.66344;24.115591;0.0;19.498016;32.967173;
        Ceuta;3.886973;51.278406;69.973932;1.89411;13.630305;1.937688;26.285623;41.824024;67.606382;17.301433;3.895125;7.831977;518.812776;2.947744;12.587965;6.839869;39.107709;15.64084;3.918916;25.338291;14.535923;133.521619;1.910372;23.43771;0.0;40.088225;17.582613;11.733425;2.933483;248.875778;411.038301;32.111301;13.651889;1.958748;0.0;30.047943;12.646499;10.656712;7.77994;21.55272;5.87195;162.061948;0.979719;13.529099;0.0;19.43955;41.963149;7.813842;1.948752;43.960033;0.0;29.258961;
        Melilla;5.807473;75.134914;244.851492;6.719215;16.458337;9.760895;17.477871;92.238031;247.37456;13.496763;5.780704;8.645186;85.606432;12.638513;23.209078;6.843712;47.389665;13.64492;7.686787;15.5051;96.12908;177.229503;2.949125;9.633485;3.915331;18.528389;0.97684;37.225147;4.83998;236.841596;419.407638;100.321541;11.670636;0.985163;2.848946;125.863403;13.71194;15.517186;9.743731;59.16549;12.631413;77.969489;0.985163;73.966683;2.939421;21.482099;62.004561;11.741946;0.936532;61.295388;37.820935;0.0;
