id;label;timeset;eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;clustering;pageranks;modularity_class;weighted indegree;weighted outdegree;weighted degree;authority;hub
1;Albacete;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;3768.0;5272.0;9040.0;0.13940006;0.1394055
2;Alicante;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;18961.0;17967.0;36928.0;0.13940006;0.1394055
3;Almería;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;9409.0;8072.0;17481.0;0.13940006;0.1394055
4;Álava;;2.0;0.9622641509433962;0.9803921568627451;0.20969930525401648;1.0;0.9949019551277161;0.019313505926409708;1;4502.0;3625.0;8127.0;0.13950343;0.13416263
5;Asturias;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;6835.0;7865.0;14700.0;0.13940006;0.1394055
6;Ávila;;1.0;1.0;1.0;0.23151562968696573;0.9813699208992126;0.9945098161697388;0.01899428730622034;1;2396.0;3445.0;5841.0;0.13685852;0.13945562
7;Badajoz;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;5067.0;6622.0;11689.0;0.13940006;0.1394055
8;Baleares;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;17120.0;13673.0;30793.0;0.13940006;0.1394055
9;Barcelona;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;4;44780.0;39176.0;83956.0;0.13940006;0.1394055
10;Vizcaya;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;9003.0;8653.0;17656.0;0.13940006;0.1394055
11;Burgos;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;3763.0;4845.0;8608.0;0.13940006;0.1394055
12;Cáceres;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;3953.0;5370.0;9323.0;0.13940006;0.1394055
13;Cádiz;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;10864.0;12553.0;23417.0;0.13940006;0.1394055
14;Cantabria;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;5329.0;5776.0;11105.0;0.13940006;0.1394055
15;Castellón;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;5749.0;6916.0;12665.0;0.13940006;0.1394055
16;Ciudad Real;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;4175.0;6874.0;11049.0;0.13940006;0.1394055
17;Córdoba;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;5574.0;7925.0;13499.0;0.13940006;0.1394055
18;Coruña;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;2;8723.0;9046.0;17769.0;0.13940006;0.1394055
19;Cuenca;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;2696.0;4189.0;6885.0;0.13940006;0.1394055
20;Guipúzcoa;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;5989.0;5281.0;11270.0;0.13940006;0.1394055
21;Gerona;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;4;10010.0;10219.0;20229.0;0.13940006;0.1394055
22;Granada;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;10294.0;11307.0;21601.0;0.13940006;0.1394055
23;Guadalajara;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;5671.0;6058.0;11729.0;0.13940006;0.1394055
24;Huelva;;1.0;1.0;1.0;0.25374053834804455;0.9810057991869696;0.9945098161697388;0.01899557336664696;3;4651.0;5516.0;10167.0;0.1368052;0.13945666
25;Huesca;;1.0;1.0;1.0;0.2551294272369335;0.9821255027905454;0.9945098161697388;0.019012995322527114;1;3095.0;3520.0;6615.0;0.1368053;0.13945666
26;Jaén;;1.0;1.0;1.0;0.23333237508273846;0.962025491668124;0.9949019551277161;0.01867804962418091;0;4331.0;8316.0;12647.0;0.13410695;0.13950986
27;León;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;4496.0;6032.0;10528.0;0.13940006;0.1394055
28;Lérida;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;4;6198.0;6424.0;12622.0;0.13940006;0.1394055
29;Lugo;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;2;3405.0;3534.0;6939.0;0.13940006;0.1394055
30;Madrid;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;76888.0;55078.0;131966.0;0.13940006;0.1394055
31;Málaga;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;18815.0;14831.0;33646.0;0.13940006;0.1394055
32;Murcia;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;13308.0;13436.0;26744.0;0.13940006;0.1394055
33;Navarra;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;6587.0;5392.0;11979.0;0.13940006;0.1394055
34;Orense;;2.0;0.9807692307692307;0.9901960784313726;0.2301074685193226;1.0;0.9945098161697388;0.019320094462326198;2;3148.0;3771.0;6919.0;0.13945025;0.13685977
35;Palencia;;2.0;0.9444444444444444;0.9705882352941176;0.1046461137646548;0.9821255027905454;0.9975510239601135;0.018993533234810813;1;1683.0;2100.0;3783.0;0.13696082;0.13156784
36;Las Palmas;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;2;10952.0;10541.0;21493.0;0.13940006;0.1394055
37;Pontevedra;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;2;6982.0;7794.0;14776.0;0.13940006;0.1394055
38;La Rioja;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;3667.0;3859.0;7526.0;0.13940006;0.1394055
39;Salamanca;;2.0;0.9807692307692307;0.9901960784313726;0.18983087067697876;0.9813699208992124;0.9963265061378479;0.01898806135048571;1;3188.0;4643.0;7831.0;0.13691075;0.13680653
40;S.C.Tenerife;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;2;8205.0;8742.0;16947.0;0.13940006;0.1394055
41;Segovia;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;2141.0;2928.0;5069.0;0.13940006;0.1394055
42;Sevilla;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;13678.0;15235.0;28913.0;0.13940006;0.1394055
43;Soria;;1.0;1.0;1.0;0.2759253959481923;0.9806620520400652;0.9945098161697388;0.018996894106757305;1;1114.0;1483.0;2597.0;0.13675404;0.13945767
44;Tarragona;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;4;11038.0;12448.0;23486.0;0.13940006;0.1394055
45;Teruel;;2.0;0.9272727272727272;0.9607843137254902;0.08292625560862642;0.9631451952717;0.9982993006706238;0.01866942126228822;1;1879.0;2392.0;4271.0;0.13431698;0.12886445
46;Toledo;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;12469.0;15116.0;27585.0;0.13940006;0.1394055
47;Valencia;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;0;19584.0;19146.0;38730.0;0.13940006;0.1394055
48;Valladolid;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;4885.0;5412.0;10297.0;0.13940006;0.1394055
49;Zamora;;2.0;0.9807692307692307;0.9901960784313726;0.18983087067697876;0.9813699208992124;0.9949019551277161;0.01898806135048571;1;1763.0;2664.0;4427.0;0.13691068;0.13681068
50;Zaragoza;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;1;9327.0;9493.0;18820.0;0.13940006;0.1394055
51;Ceuta;;2.0;0.9444444444444444;0.9705882352941176;0.02040816326530612;0.9236998241663105;0.9991496801376343;0.017992405626801787;3;1562.0;2300.0;3862.0;0.12907708;0.1315637
52;Melilla;;1.0;1.0;1.0;0.318072689648281;1.0;0.9941176176071167;0.01932642885782409;3;1875.0;2670.0;4545.0;0.13940006;0.1394055
