SOURCE;TARGET;WEIGHT
1;2;680
1;3;84
1;4;18
1;5;30
1;6;9
1;7;32
1;8;229
1;9;258
1;10;33
1;11;14
1;12;15
1;13;37
1;14;17
1;15;87
1;16;191
1;17;47
1;18;36
1;19;284
1;20;16
1;21;43
1;22;71
1;23;42
1;24;66
1;25;13
1;26;59
1;27;19
1;28;36
1;29;4
1;30;725
1;31;79
1;32;719
1;33;23
1;34;9
1;35;6
1;36;51
1;37;23
1;38;25
1;39;12
1;40;49
1;41;9
1;42;75
1;43;2
1;44;34
1;45;16
1;46;133
1;47;722
1;48;15
1;49;4
1;50;57
1;51;1
1;52;13
2;1;465
2;3;382
2;4;119
2;5;225
2;6;50
2;7;106
2;8;762
2;9;1467
2;10;229
2;11;106
2;12;85
2;13;194
2;14;128
2;15;221
2;16;178
2;17;135
2;18;168
2;19;95
2;20;152
2;21;204
2;22;367
2;23;101
2;24;70
2;25;65
2;26;163
2;27;104
2;28;102
2;29;29
2;30;3276
2;31;480
2;32;2672
2;33;175
2;34;47
2;35;37
2;36;271
2;37;89
2;38;92
2;39;63
2;40;245
2;41;41
2;42;275
2;43;22
2;44;182
2;45;45
2;46;237
2;47;2769
2;48;143
2;49;27
2;50;216
2;51;30
2;52;61
3;1;69
3;2;402
3;4;39
3;5;63
3;6;12
3;7;36
3;8;237
3;9;750
3;10;65
3;11;30
3;12;16
3;13;171
3;14;37
3;15;46
3;16;55
3;17;100
3;18;37
3;19;18
3;20;55
3;21;116
3;22;1293
3;23;31
3;24;116
3;25;46
3;26;184
3;27;20
3;28;120
3;29;14
3;30;969
3;31;628
3;32;932
3;33;65
3;34;19
3;35;6
3;36;108
3;37;30
3;38;27
3;39;17
3;40;102
3;41;21
3;42;224
3;43;8
3;44;100
3;45;13
3;46;73
3;47;308
3;48;20
3;49;5
3;50;80
3;51;17
3;52;122
4;1;16
4;2;86
4;3;32
4;5;39
4;6;7
4;7;11
4;8;61
4;9;248
4;10;750
4;11;229
4;12;21
4;13;24
4;14;79
4;15;16
4;16;12
4;17;20
4;18;52
4;19;5
4;20;357
4;21;12
4;22;21
4;23;5
4;24;8
4;25;16
4;26;11
4;27;39
4;28;31
4;29;12
4;30;406
4;31;71
4;32;44
4;33;161
4;34;20
4;35;26
4;36;40
4;37;34
4;38;239
4;39;17
4;40;19
4;41;8
4;42;44
4;44;13
4;45;4
4;46;43
4;47;75
4;48;63
4;49;17
4;50;56
4;52;5
5;1;16
5;2;249
5;3;60
5;4;60
5;6;28
5;7;26
5;8;297
5;9;556
5;10;188
5;11;96
5;12;52
5;13;96
5;14;342
5;15;52
5;16;31
5;17;26
5;18;331
5;19;21
5;20;84
5;21;59
5;22;59
5;23;44
5;24;30
5;25;20
5;26;29
5;27;552
5;28;26
5;29;332
5;30;1925
5;31;176
5;32;101
5;33;120
5;34;67
5;35;47
5;36;245
5;37;183
5;38;52
5;39;95
5;40;205
5;41;30
5;42;99
5;43;14
5;44;76
5;45;16
5;46;104
5;47;202
5;48;149
5;49;59
5;50;111
5;51;14
5;52;13
6;1;12
6;2;73
6;3;18
6;4;13
6;5;39
6;7;9
6;8;32
6;9;69
6;10;29
6;11;29
6;12;60
6;13;19
6;14;30
6;15;12
6;16;18
6;17;12
6;18;19
6;19;14
6;20;24
6;21;10
6;22;21
6;23;23
6;24;12
6;25;6
6;26;9
6;27;36
6;28;12
6;29;12
6;30;1938
6;31;47
6;32;24
6;33;16
6;34;3
6;35;22
6;36;19
6;37;12
6;38;11
6;39;146
6;40;29
6;41;69
6;42;14
6;43;16
6;44;10
6;45;8
6;46;158
6;47;55
6;48;137
6;49;16
6;50;19
6;51;3
6;52;1
7;1;25
7;2;167
7;3;51
7;4;23
7;5;25
7;6;15
7;8;331
7;9;487
7;10;91
7;11;28
7;12;640
7;13;168
7;14;32
7;15;41
7;16;86
7;17;186
7;18;31
7;19;22
7;20;71
7;21;73
7;22;73
7;23;51
7;24;170
7;25;17
7;26;36
7;27;31
7;28;38
7;29;13
7;30;1597
7;31;235
7;32;81
7;33;52
7;34;9
7;35;7
7;36;139
7;37;43
7;38;33
7;39;70
7;40;113
7;41;18
7;42;628
7;43;9
7;44;58
7;45;4
7;46;184
7;47;127
7;48;52
7;49;12
7;50;97
7;51;20
7;52;12
8;1;116
8;2;637
8;3;196
8;4;31
8;5;260
8;6;16
8;7;169
8;9;2592
8;10;149
8;11;56
8;12;88
8;13;354
8;14;92
8;15;161
8;16;111
8;17;223
8;18;224
8;19;38
8;20;109
8;21;268
8;22;578
8;23;53
8;24;83
8;25;69
8;26;191
8;27;101
8;28;109
8;29;36
8;30;2164
8;31;505
8;32;341
8;33;110
8;34;50
8;35;20
8;36;414
8;37;210
8;38;41
8;39;75
8;40;341
8;41;25
8;42;492
8;43;15
8;44;205
8;45;30
8;46;89
8;47;1066
8;48;89
8;49;36
8;50;173
8;51;22
8;52;50
9;1;154
9;2;1149
9;3;850
9;4;221
9;5;333
9;6;55
9;7;406
9;8;2568
9;10;540
9;11;152
9;12;212
9;13;638
9;14;241
9;15;687
9;16;219
9;17;455
9;18;461
9;19;146
9;20;404
9;21;5704
9;22;784
9;23;122
9;24;232
9;25;472
9;26;313
9;27;290
9;28;2016
9;29;296
9;30;4368
9;31;1200
9;32;812
9;33;441
9;34;253
9;35;71
9;36;647
9;37;318
9;38;191
9;39;153
9;40;640
9;41;43
9;42;809
9;43;81
9;44;5646
9;45;240
9;46;219
9;47;1554
9;48;171
9;49;99
9;50;849
9;51;95
9;52;156
10;1;15
10;2;195
10;3;71
10;4;823
10;5;151
10;6;18
10;7;52
10;8;190
10;9;562
10;11;435
10;12;72
10;13;89
10;14;1148
10;15;52
10;16;29
10;17;24
10;18;156
10;19;3
10;20;904
10;21;35
10;22;40
10;23;14
10;24;20
10;25;30
10;26;24
10;27;113
10;28;29
10;29;78
10;30;1244
10;31;157
10;32;91
10;33;277
10;34;70
10;35;100
10;36;142
10;37;75
10;38;290
10;39;65
10;40;108
10;41;18
10;42;73
10;43;13
10;44;55
10;45;7
10;46;38
10;47;185
10;48;82
10;49;65
10;50;114
10;51;6
10;52;6
11;1;6
11;2;149
11;3;37
11;4;497
11;5;76
11;6;21
11;7;33
11;8;77
11;9;223
11;10;523
11;12;21
11;13;29
11;14;221
11;15;23
11;16;30
11;17;30
11;18;37
11;19;12
11;20;90
11;21;14
11;22;21
11;23;27
11;24;22
11;25;13
11;26;8
11;27;104
11;28;32
11;29;13
11;30;980
11;31;73
11;32;68
11;33;90
11;34;28
11;35;118
11;36;58
11;37;46
11;38;175
11;39;56
11;40;41
11;41;62
11;42;38
11;43;100
11;44;31
11;45;2
11;46;29
11;47;86
11;48;242
11;49;21
11;50;102
11;51;5
11;52;5
12;1;28
12;2;103
12;3;44
12;4;36
12;5;56
12;6;45
12;7;634
12;8;148
12;9;266
12;10;88
12;11;32
12;13;79
12;14;32
12;15;37
12;16;60
12;17;24
12;18;34
12;19;4
12;20;86
12;21;30
12;22;65
12;23;57
12;24;70
12;25;14
12;26;24
12;27;21
12;28;18
12;29;13
12;30;1753
12;31;87
12;32;90
12;33;71
12;34;17
12;35;12
12;36;53
12;37;32
12;38;34
12;39;290
12;40;68
12;41;17
12;42;124
12;43;9
12;44;45
12;45;6
12;46;285
12;47;106
12;48;48
12;49;19
12;50;49
12;51;6
12;52;1
13;1;27
13;2;205
13;3;195
13;4;55
13;5;88
13;6;17
13;7;162
13;8;777
13;9;745
13;10;119
13;11;51
13;12;48
13;14;61
13;15;71
13;16;40
13;17;255
13;18;279
13;19;21
13;20;89
13;21;111
13;22;371
13;23;60
13;24;289
13;25;34
13;26;149
13;27;39
13;28;31
13;29;20
13;30;2080
13;31;1672
13;32;322
13;33;90
13;34;13
13;35;15
13;36;573
13;37;88
13;38;32
13;39;22
13;40;266
13;41;14
13;42;1960
13;43;6
13;44;91
13;45;14
13;46;97
13;47;248
13;48;49
13;49;16
13;50;139
13;51;286
13;52;51
14;1;14
14;2;139
14;3;41
14;4;87
14;5;364
14;6;10
14;7;22
14;8;132
14;9;331
14;10;1296
14;11;159
14;12;25
14;13;63
14;15;39
14;16;27
14;17;26
14;18;110
14;19;11
14;20;115
14;21;40
14;22;26
14;23;30
14;24;15
14;25;14
14;26;14
14;27;77
14;28;16
14;29;25
14;30;1117
14;31;120
14;32;64
14;33;95
14;34;23
14;35;120
14;36;133
14;37;52
14;38;82
14;39;38
14;40;118
14;41;11
14;42;78
14;43;5
14;44;52
14;45;6
14;46;42
14;47;128
14;48;127
14;49;16
14;50;69
14;51;9
14;52;3
15;1;92
15;2;374
15;3;120
15;4;47
15;5;48
15;6;6
15;7;35
15;8;247
15;9;865
15;10;64
15;11;14
15;12;27
15;13;63
15;14;32
15;16;33
15;17;39
15;18;32
15;19;43
15;20;59
15;21;108
15;22;55
15;23;21
15;24;35
15;25;65
15;26;31
15;27;26
15;28;174
15;29;16
15;30;558
15;31;110
15;32;179
15;33;67
15;34;14
15;35;11
15;36;63
15;37;37
15;38;44
15;39;18
15;40;48
15;41;2
15;42;83
15;43;14
15;44;428
15;45;147
15;46;50
15;47;1992
15;48;29
15;49;12
15;50;217
15;51;17
15;52;5
16;1;206
16;2;472
16;3;119
16;4;28
16;5;59
16;6;23
16;7;81
16;8;163
16;9;304
16;10;50
16;11;25
16;12;44
16;13;84
16;14;18
16;15;63
16;17;162
16;18;42
16;19;119
16;20;32
16;21;46
16;22;126
16;23;99
16;24;53
16;25;16
16;26;119
16;27;25
16;28;31
16;29;9
16;30;2338
16;31;217
16;32;234
16;33;34
16;34;6
16;35;7
16;36;72
16;37;17
16;38;31
16;39;15
16;40;49
16;41;29
16;42;130
16;43;8
16;44;65
16;45;7
16;46;523
16;47;334
16;48;48
16;49;12
16;50;63
16;51;10
16;52;7
17;1;31
17;2;166
17;3;200
17;4;21
17;5;25
17;6;9
17;7;175
17;8;356
17;9;491
17;10;31
17;11;29
17;12;49
17;13;293
17;14;29
17;15;63
17;16;129
17;18;29
17;19;33
17;20;35
17;21;62
17;22;434
17;23;27
17;24;165
17;25;27
17;26;311
17;27;15
17;28;49
17;29;8
17;30;1140
17;31;1476
17;32;143
17;33;47
17;34;15
17;35;3
17;36;202
17;37;20
17;38;41
17;39;12
17;40;83
17;41;20
17;42;831
17;43;11
17;44;82
17;45;5
17;46;84
17;47;175
17;48;35
17;49;5
17;50;116
17;51;46
17;52;41
18;1;20
18;2;200
18;3;57
18;4;48
18;5;273
18;6;13
18;7;39
18;8;258
18;9;606
18;10;126
18;11;32
18;12;24
18;13;253
18;14;96
18;15;48
18;16;23
18;17;19
18;19;8
18;20;86
18;21;56
18;22;54
18;23;53
18;24;33
18;25;5
18;26;11
18;27;180
18;28;32
18;29;864
18;30;1632
18;31;136
18;32;234
18;33;57
18;34;378
18;35;19
18;36;465
18;37;1638
18;38;39
18;39;45
18;40;235
18;41;10
18;42;97
18;43;13
18;44;52
18;45;10
18;46;56
18;47;184
18;48;67
18;49;31
18;50;101
18;51;16
18;52;14
19;1;372
19;2;172
19;3;38
19;4;5
19;5;15
19;6;6
19;7;21
19;8;75
19;9;192
19;10;23
19;11;15
19;12;17
19;13;26
19;14;15
19;15;51
19;16;140
19;17;24
19;18;21
19;20;24
19;21;19
19;22;26
19;23;87
19;24;29
19;25;7
19;26;14
19;27;14
19;28;29
19;29;5
19;30;1321
19;31;48
19;32;149
19;33;17
19;34;8
19;35;6
19;36;21
19;37;7
19;38;12
19;39;10
19;40;17
19;41;17
19;42;29
19;43;3
19;44;32
19;45;17
19;46;182
19;47;730
19;48;19
19;49;5
19;50;54
19;51;2
19;52;1
20;1;17
20;2;144
20;3;35
20;4;423
20;5;58
20;6;9
20;7;56
20;8;91
20;9;397
20;10;910
20;11;78
20;12;51
20;13;65
20;14;84
20;15;38
20;16;18
20;17;28
20;18;82
20;19;8
20;21;51
20;22;42
20;23;14
20;24;30
20;25;35
20;26;32
20;27;26
20;28;25
20;29;18
20;30;666
20;31;107
20;32;46
20;33;624
20;34;44
20;35;30
20;36;93
20;37;57
20;38;129
20;39;75
20;40;58
20;41;16
20;42;54
20;43;15
20;44;43
20;45;6
20;46;27
20;47;128
20;48;45
20;49;26
20;50;108
20;51;10
20;52;9
21;1;22
21;2;173
21;3;146
21;4;11
21;5;77
21;6;13
21;7;61
21;8;254
21;9;6034
21;10;54
21;11;17
21;12;29
21;13;104
21;14;36
21;15;99
21;16;15
21;17;45
21;18;59
21;19;13
21;20;57
21;22;135
21;23;33
21;24;38
21;25;60
21;26;82
21;27;34
21;28;304
21;29;15
21;30;418
21;31;229
21;32;134
21;33;75
21;34;28
21;35;4
21;36;137
21;37;44
21;38;23
21;39;22
21;40;129
21;41;9
21;42;97
21;43;9
21;44;345
21;45;25
21;46;47
21;47;181
21;48;17
21;49;19
21;50;117
21;51;14
21;52;76
22;1;47
22;2;362
22;3;1562
22;4;30
22;5;63
22;6;8
22;7;58
22;8;752
22;9;858
22;10;65
22;11;26
22;12;33
22;13;315
22;14;33
22;15;39
22;16;92
22;17;267
22;18;54
22;19;22
22;20;72
22;21;138
22;23;40
22;24;132
22;25;31
22;26;563
22;27;33
22;28;59
22;29;15
22;30;1433
22;31;1806
22;32;579
22;33;57
22;34;11
22;35;5
22;36;203
22;37;40
22;38;39
22;39;19
22;40;140
22;41;10
22;42;430
22;43;8
22;44;109
22;45;6
22;46;80
22;47;225
22;48;23
22;49;5
22;50;102
22;51;74
22;52;134
23;1;21
23;2;146
23;3;39
23;4;24
23;5;44
23;6;23
23;7;34
23;8;46
23;9;166
23;10;34
23;11;20
23;12;45
23;13;37
23;14;35
23;15;33
23;16;58
23;17;21
23;18;33
23;19;63
23;20;26
23;21;23
23;22;25
23;24;26
23;25;17
23;26;26
23;27;21
23;28;17
23;29;4
23;30;4055
23;31;68
23;32;73
23;33;29
23;34;15
23;35;12
23;36;61
23;37;21
23;38;14
23;39;25
23;40;28
23;41;13
23;42;36
23;43;29
23;44;22
23;45;22
23;46;161
23;47;118
23;48;23
23;49;13
23;50;107
23;51;3
23;52;3
24;1;52
24;2;90
24;3;116
24;4;25
24;5;33
24;6;3
24;7;181
24;8;155
24;9;314
24;10;33
24;11;15
24;12;50
24;13;293
24;14;24
24;15;36
24;16;45
24;17;140
24;18;22
24;19;8
24;20;35
24;21;57
24;22;151
24;23;13
24;25;28
24;26;50
24;27;13
24;28;97
24;29;9
24;30;598
24;31;319
24;32;101
24;33;30
24;34;14
24;35;4
24;36;120
24;37;30
24;38;22
24;39;19
24;40;71
24;41;28
24;42;1724
24;43;5
24;44;66
24;45;3
24;46;48
24;47;93
24;48;37
24;49;5
24;50;66
24;51;13
24;52;12
25;1;5
25;2;81
25;3;51
25;4;20
25;5;40
25;6;11
25;7;12
25;8;55
25;9;544
25;10;28
25;11;26
25;12;6
25;13;27
25;14;25
25;15;65
25;16;8
25;17;12
25;18;5
25;19;15
25;20;38
25;21;63
25;22;26
25;23;11
25;24;27
25;26;12
25;27;16
25;28;430
25;29;5
25;30;265
25;31;24
25;32;50
25;33;107
25;34;8
25;35;4
25;36;26
25;37;16
25;38;35
25;39;5
25;40;29
25;41;6
25;42;22
25;43;5
25;44;129
25;45;34
25;46;26
25;47;111
25;48;8
25;49;5
25;50;939
25;51;1
25;52;1
26;1;85
26;2;298
26;3;488
26;4;27
26;5;31
26;6;11
26;7;48
26;8;397
26;9;485
26;10;56
26;11;24
26;12;31
26;13;217
26;14;20
26;15;56
26;16;162
26;17;420
26;18;32
26;19;23
26;20;40
26;21;128
26;22;982
26;23;27
26;24;138
26;25;25
26;27;11
26;28;122
26;29;8
26;30;1155
26;31;1006
26;32;317
26;33;104
26;34;12
26;35;8
26;36;108
26;37;21
26;38;31
26;39;17
26;40;60
26;41;10
26;42;379
26;43;17
26;44;123
26;45;17
26;46;83
26;47;255
26;48;32
26;49;4
26;50;85
26;51;42
26;52;38
27;1;27
27;2;165
27;3;25
27;4;47
27;5;729
27;6;34
27;7;35
27;8;143
27;9;319
27;10;115
27;11;104
27;12;21
27;13;33
27;14;138
27;15;59
27;16;8
